modelName,score,rmse,spendTime,executionTime,startDate,endDate,random_seed,Dense1Units,Dense2Units,learning_rate,decay,momentum,nesterov,optimizer,loss,epochs,verbose,batch_size
rmseBeyond5,84.78751373291016,9.208019303024287,38.62461400032044,2022/05/07 19:11:06,2020-03-23,2020-04-08,0,128,38,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,0
rmseBeyond5,84.78751373291016,9.208019303024287,38.62461400032044,2022/05/07 19:11:06,2020-03-23,2020-04-08,0,128,38,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,0
rmseBeyond5,57.45907592773438,7.5801814173794435,24.206162452697754,2022/05/07 20:17:07,2020-03-23,2020-04-08,0,128,32,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,0
rmseBeyond5,78.46876525878906,8.858259192596002,67.46126818656921,2022/05/07 20:18:15,2020-03-23,2020-04-08,0,128,32,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond5,59.53595733642578,7.715961527838748,33.39806222915649,2022/05/07 20:18:48,2020-03-23,2020-04-08,0,128,32,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,0
rmseBeyond5,115.8979034423828,10.765589477714203,99.93355250358582,2022/05/07 20:20:28,2020-03-23,2020-04-08,0,128,32,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond5,73.48519134521484,8.572346050265862,23.216405868530273,2022/05/07 20:22:32,2020-03-23,2020-04-08,0,128,38,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,0
rmseBeyond5,70.70352935791016,8.408538004080249,67.70016765594482,2022/05/07 20:23:40,2020-03-23,2020-04-08,0,128,38,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond5,64.19176483154297,8.011981880429817,104.92041373252869,2022/05/07 20:25:25,2020-03-23,2020-04-08,0,128,38,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond5,53.36669921875,7.305253911478636,25.379804849624637,2022/05/07 20:25:50,2020-03-23,2020-04-08,0,128,46,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,0
rmseBeyond5,57.45907592773438,7.5801814173794435,25.518091917037964,2022/05/07 20:31:20,2020-03-23,2020-04-08,0,128,32,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,0
rmseBeyond5,93.4428939819336,9.666592632648015,66.23361468315126,2022/05/07 20:43:39,2020-03-23,2020-04-08,0,128,46,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond5,56.476966857910156,7.5151244372290495,35.0285587310791,2022/05/07 20:44:14,2020-03-23,2020-04-08,0,128,46,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,0
rmseBeyond5,129.98281860351562,11.400994985860224,98.3321602344513,2022/05/07 20:45:52,2020-03-23,2020-04-08,0,128,46,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond5,63.890892028808594,7.993181141885767,26.740271806716922,2022/05/07 20:46:19,2020-03-23,2020-04-08,0,256,32,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,0
rmseBeyond5,74.0802001953125,8.606980537267704,64.02263379096985,2022/05/07 20:47:23,2020-03-23,2020-04-08,0,256,32,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond5,77.49102783203125,8.802898799321486,37.31575465202332,2022/05/07 20:48:01,2020-03-23,2020-04-08,0,256,32,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,0
rmseBeyond5,105.1877670288086,10.256095068163347,120.72420930862428,2022/05/07 20:50:01,2020-03-23,2020-04-08,0,256,32,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond5,57.11235427856445,7.557267924800597,30.034626960754395,2022/05/07 20:50:31,2020-03-23,2020-04-08,0,256,38,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,0
rmseBeyond5,71.39338684082031,8.449461882765146,81.92716336250304,2022/05/07 20:51:53,2020-03-23,2020-04-08,0,256,38,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond5,62.02705001831055,7.8757252274737635,43.98677396774292,2022/05/07 20:52:37,2020-03-23,2020-04-08,0,256,38,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,0
rmseBeyond5,109.78083801269531,10.477631122786617,129.44023537635806,2022/05/07 20:54:47,2020-03-23,2020-04-08,0,256,38,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond5,40.01258087158203,6.325542235125576,28.97949194908142,2022/05/07 20:55:16,2020-03-23,2020-04-08,0,256,46,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,0
rmseBeyond5,115.0955047607422,10.728262479591814,88.00743913650513,2022/05/07 20:56:44,2020-03-23,2020-04-08,0,256,46,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond5,35.026954650878906,5.918357604206362,41.407109260559075,2022/05/07 20:57:26,2020-03-23,2020-04-08,0,256,46,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,0
rmseBeyond5,164.4384002685547,12.823352354941266,127.50646924972534,2022/05/07 20:59:33,2020-03-23,2020-04-08,0,256,46,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond5,47.08417129516602,6.861797150308182,27.429531335830692,2022/05/07 21:00:01,2020-03-23,2020-04-08,100,128,32,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,0
rmseBeyond5,113.915771484375,10.673134549345953,84.07163190841675,2022/05/07 21:01:25,2020-03-23,2020-04-08,100,128,32,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond5,56.940406799316406,7.54588617868367,41.115037202835076,2022/05/07 21:02:06,2020-03-23,2020-04-08,100,128,32,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,0
rmseBeyond5,138.6890869140625,11.776635172406369,127.09800887107849,2022/05/07 21:04:13,2020-03-23,2020-04-08,100,128,32,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond5,64.03987121582031,8.00249187796421,27.96822452545166,2022/05/07 21:04:41,2020-03-23,2020-04-08,100,128,38,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,0
keras_4_84279.h5,23.452640533447266,4.842790798158831,85.00360274314879,2022/05/07 21:06:06,2020-03-23,2020-04-08,100,128,38,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond5,65.6436767578125,8.102078409566829,39.26345992088318,2022/05/07 21:06:46,2020-03-23,2020-04-08,100,128,38,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,0
keras_4_60303.h5,21.18800163269043,4.603036678782644,100.09553217887878,2022/05/07 21:08:26,2020-03-23,2020-04-08,100,128,38,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond5,52.73252487182617,7.261716112716826,26.30562424659729,2022/05/07 21:08:52,2020-03-23,2020-04-08,100,128,46,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,0
rmseBeyond5,43.741966247558594,6.613765047542873,63.907586574554436,2022/05/07 21:09:56,2020-03-23,2020-04-08,100,128,46,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond5,51.76155853271485,7.194546503377472,37.688726902008064,2022/05/07 21:10:34,2020-03-23,2020-04-08,100,128,46,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,0
rmseBeyond5,55.1114501953125,7.423721849587343,97.26316022872923,2022/05/07 21:12:11,2020-03-23,2020-04-08,100,128,46,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond5,52.452369689941406,7.242404962095435,24.257652521133426,2022/05/07 21:12:35,2020-03-23,2020-04-08,100,256,32,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,0
rmseBeyond5,30.73549842834473,5.543966978243125,68.95802903175354,2022/05/07 21:13:44,2020-03-23,2020-04-08,100,256,32,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond5,60.3475456237793,7.768372183129952,40.48128056526185,2022/05/07 21:14:25,2020-03-23,2020-04-08,100,256,32,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,0
rmseBeyond5,49.53388214111328,7.0380264461792965,95.36285328865051,2022/05/07 21:16:00,2020-03-23,2020-04-08,100,256,32,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond5,88.20423126220703,9.391705872674487,23.83658504486084,2022/05/07 21:16:24,2020-03-23,2020-04-08,100,256,38,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,0
rmseBeyond5,28.143634796142567,5.30505399430773,66.90589261054993,2022/05/07 21:17:31,2020-03-23,2020-04-08,100,256,38,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond5,77.37080383300781,8.796060752493357,38.67828011512756,2022/05/07 21:18:10,2020-03-23,2020-04-08,100,256,38,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,0
rmseBeyond5,40.20806884765625,6.34098493183756,107.70164918899536,2022/05/07 21:19:58,2020-03-23,2020-04-08,100,256,38,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond5,62.42158889770508,7.900729682381441,27.295050382614136,2022/05/07 21:20:25,2020-03-23,2020-04-08,100,256,46,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,0
keras_4_90507.h5,24.05984115600586,4.905074290463716,74.65775609016418,2022/05/07 21:21:40,2020-03-23,2020-04-08,100,256,46,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond5,60.4663314819336,7.776010993877647,40.64806890487671,2022/05/07 21:22:21,2020-03-23,2020-04-08,100,256,46,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,0
rmseBeyond5,39.88247299194336,6.315253918940135,107.62504291534424,2022/05/07 21:24:08,2020-03-23,2020-04-08,100,256,46,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond5,51.0640640258789,7.145922258547567,22.1096465587616,2022/05/07 21:24:30,2020-03-23,2020-04-08,200,128,32,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,0
rmseBeyond5,154.5450439453125,12.431619172306235,64.87921857833861,2022/05/07 21:25:35,2020-03-23,2020-04-08,200,128,32,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond5,57.53398513793945,7.585114873197307,34.018829107284546,2022/05/07 21:26:09,2020-03-23,2020-04-08,200,128,32,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,0
rmseBeyond5,191.3033142089844,13.83125754471038,94.1627070903778,2022/05/07 21:27:44,2020-03-23,2020-04-08,200,128,32,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond5,40.33262252807617,6.350793813035043,24.440903186798096,2022/05/07 21:28:08,2020-03-23,2020-04-08,200,128,38,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,0
rmseBeyond5,44.74153900146485,6.688923251195861,63.17006921768189,2022/05/07 21:29:11,2020-03-23,2020-04-08,200,128,38,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond5,46.7965087890625,6.8407915329719176,34.186319589614875,2022/05/07 21:29:46,2020-03-23,2020-04-08,200,128,38,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,0
rmseBeyond5,52.3570671081543,7.235819515824218,97.01097750663756,2022/05/07 21:31:23,2020-03-23,2020-04-08,200,128,38,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond5,43.35090255737305,6.584132629174991,24.898046016693115,2022/05/07 21:31:48,2020-03-23,2020-04-08,200,128,46,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,0
rmseBeyond5,31.74503517150879,5.634276487178656,64.65248584747314,2022/05/07 21:32:52,2020-03-23,2020-04-08,200,128,46,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond5,38.11177444458008,6.1734769261863125,37.9262318611145,2022/05/07 21:33:30,2020-03-23,2020-04-08,200,128,46,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,0
rmseBeyond5,30.607431411743164,5.532393467448479,98.92433047294615,2022/05/07 21:35:09,2020-03-23,2020-04-08,200,128,46,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond5,137.00534057617188,11.704933932426087,26.160193920135498,2022/05/07 21:35:36,2020-03-23,2020-04-08,200,256,32,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,0
rmseBeyond5,101.19886779785156,10.05977331424111,70.02766728401184,2022/05/07 21:36:46,2020-03-23,2020-04-08,200,256,32,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond5,76.66246032714844,8.755716543571761,37.757951974868774,2022/05/07 21:37:24,2020-03-23,2020-04-08,200,256,32,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,0
rmseBeyond5,174.8650360107422,13.223656475392511,106.26608633995056,2022/05/07 21:39:10,2020-03-23,2020-04-08,200,256,32,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond5,52.486488342285156,7.244744126211668,25.354708909988407,2022/05/07 21:39:35,2020-03-23,2020-04-08,200,256,38,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,0
rmseBeyond5,74.75035095214844,8.645820422996534,71.3994195461273,2022/05/07 21:40:47,2020-03-23,2020-04-08,200,256,38,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond5,59.9517593383789,7.742854212223952,43.88639497756958,2022/05/07 21:41:31,2020-03-23,2020-04-08,200,256,38,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,0
rmseBeyond5,111.4286117553711,10.55598133841402,112.42533898353577,2022/05/07 21:43:23,2020-03-23,2020-04-08,200,256,38,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond5,58.47785186767578,7.647087749734077,24.73297142982483,2022/05/07 21:43:48,2020-03-23,2020-04-08,200,256,46,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,0
rmseBeyond5,69.12493896484375,8.314153817015775,69.66167092323303,2022/05/07 21:44:58,2020-03-23,2020-04-08,200,256,46,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond5,63.220375061035156,7.951119079118223,39.99334168434143,2022/05/07 21:45:38,2020-03-23,2020-04-08,200,256,46,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,0
rmseBeyond5,86.16560363769531,9.28253708921502,106.41489124298096,2022/05/07 21:47:24,2020-03-23,2020-04-08,200,256,46,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond5,51.237571716308594,7.158050796298332,66.7675724029541,2022/05/08 16:38:53,2020-04-08,2020-04-22,100,128,38,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond5,53.54822540283203,7.317666272381756,100.6771035194397,2022/05/08 16:40:34,2020-04-08,2020-04-22,100,128,38,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond5,54.70060348510742,7.39599577198014,67.48268127441406,2022/05/08 16:41:42,2020-04-08,2020-04-22,100,256,46,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
keras_3_31395.h5,10.982333183288574,3.313956017030692,69.94030547142029,2022/05/08 16:42:54,2020-04-22,2020-05-07,100,128,38,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
keras_3_33754.h5,11.139181137084961,3.3375476847229733,103.3693549633026,2022/05/08 16:44:38,2020-04-22,2020-05-07,100,128,38,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
keras_3_48993.h5,12.179614067077635,3.4899334288140684,72.08275079727174,2022/05/08 16:45:51,2020-04-22,2020-05-07,100,256,46,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
keras_3_80787.h5,14.499835014343262,3.8078721389255072,72.52415966987608,2022/05/08 16:47:06,2020-05-07,2020-05-21,100,128,38,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
keras_3_82976.h5,14.667098999023438,3.8297632242483233,104.46590900421144,2022/05/08 16:48:51,2020-05-07,2020-05-21,100,128,38,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
keras_3_72172.h5,13.85126781463623,3.7217268713200022,68.57684731483461,2022/05/08 16:50:00,2020-05-07,2020-05-21,100,256,46,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond5,37.346168518066406,6.111147525942094,69.90027403831482,2022/05/08 16:51:12,2020-05-21,2020-06-04,100,128,38,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond5,39.22960662841797,6.263356381219734,102.5381727218628,2022/05/08 16:52:55,2020-05-21,2020-06-04,100,128,38,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond5,38.83441162109375,6.231730998237955,80.05529761314392,2022/05/08 16:54:16,2020-05-21,2020-06-04,100,256,46,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
keras_3_60458.h5,12.9929838180542,3.6045804948384013,68.56590366363525,2022/05/08 16:55:27,2020-06-04,2020-06-18,100,128,38,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
keras_4_04529.h5,16.364486694335938,4.045296830642951,107.30201888084412,2022/05/08 16:57:14,2020-06-04,2020-06-18,100,128,38,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
keras_3_76171.h5,14.150571823120115,3.761718942851658,73.94072031974792,2022/05/08 16:58:29,2020-06-04,2020-06-18,100,256,46,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
